player,tm,POS.,AGE,EXP,TYPE,RIGHTS,2020-2021 AAV
Willie Cauley-Stein,DAL,C,28,6,CO,,"$4,100,000 "
Zach Collins,POR,C,23,4,RFA,Bird,"$4,083,154 "
Nicolo Melli,DAL,PF,30,2,RFA,Early Bird,"$4,000,000 "
Malik Monk,CHA,SG,23,4,RFA,Bird,"$3,931,512 "
Bobby Portis,MIL,PF,26,6,PO,,"$3,713,575 "
Stanley Johnson,TOR,SF,25,6,UFA,Early Bird,"$3,713,575 "
Maurice Harkless,SAC,SF,28,9,UFA,Non-Bird,"$3,623,000 "
Wesley Matthews,LAL,SG,34,12,UFA,Non-Bird,"$3,623,000 "
Boban Marjanovic,DAL,C,33,6,UFA,Early Bird,"$3,500,000 "
T.J. McConnell,IND,PG,29,6,UFA,Early Bird,"$3,500,000 "
Bismack Biyombo,CHA,C,29,10,UFA,Non-Bird,"$3,500,000 "
James Ennis III,ORL,SF,31,7,UFA,Bird,"$3,300,000 "
Patrick Patterson,LAC,PF,32,11,UFA,Early Bird,"$3,077,704 "
DJ Wilson,HOU,PF,25,4,RFA,Bird,"$3,044,680 "
Ryan Arcidiacono,CHI,PG,27,4,CO,,"$3,000,000 "
John Collins,ATL,PF,24,4,RFA,Bird,"$2,764,966 "
